City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Country
123,kyshtovka,56.555,76.6271,29.86,80,58,5.06,1619128639,RU
124,forbes,-33.3833,148.0167,46.0,78,0,1.77,1619128639,AU
125,les escoumins,48.1111,-69.0236,35.6,87,100,24.16,1619128639,CA
126,bethel,41.3712,-73.414,44.01,44,94,8.99,1619128588,US
127,burladingen,48.2833,9.1167,39.99,63,10,3.22,1619128640,DE
128,alvaraes,-3.2208,-64.8042,75.2,100,90,3.44,1619128640,BR
129,katsuura,35.1333,140.3,55.0,57,7,1.99,1619128641,JP
130,narsaq,60.9167,-46.05,53.6,26,75,14.97,1619128641,GL
131,tooele,40.5308,-112.2983,60.8,29,1,6.91,1619128641,US
132,altay,47.8667,88.1167,26.28,47,100,2.3,1619128663,CN
133,trairi,-3.2778,-39.2689,77.79,83,17,5.23,1619128663,BR
134,shawville,45.6001,-76.4827,45.0,30,100,4.0,1619128663,CA
135,egvekinot,66.3167,-179.1667,29.3,68,6,2.1,1619128664,RU
136,khatanga,71.9667,102.5,26.65,97,99,6.55,1619128664,RU
137,sibolga,1.7427,98.7792,76.05,87,100,2.86,1619128664,ID
138,storm lake,42.6411,-95.2097,57.99,21,1,13.8,1619128665,US
139,harper,4.375,-7.7169,81.27,82,78,6.69,1619128665,LR
140,acapulco,16.8634,-99.8901,86.0,58,40,12.66,1619128627,MX
141,kutum,14.2,24.6667,78.89,17,33,10.92,1619128665,SD
142,sur,22.5667,59.5289,86.18,29,7,16.62,1619128666,OM
143,excelsior springs,39.3392,-94.2261,57.0,28,1,10.36,1619128500,US
144,macae,-22.3708,-41.7869,73.4,83,75,4.61,1619128666,BR
145,vimperk,49.0586,13.7829,33.01,63,21,1.99,1619128666,CZ
146,gamba,-2.65,10.0,74.3,93,100,7.92,1619128667,GA
147,fairbanks,64.8378,-147.7164,53.01,31,1,12.66,1619128667,US
148,diamantino,-14.4086,-56.4461,76.98,61,27,4.54,1619128667,BR
149,faya,18.3851,42.4509,64.4,48,0,3.44,1619128668,SA
150,srednekolymsk,67.45,153.6833,12.36,86,95,3.06,1619128668,RU
151,sambava,-14.2667,50.1667,75.33,89,96,10.96,1619128668,MG
152,korla,41.7597,86.1469,42.17,54,100,17.25,1619128669,CN
153,salalah,17.0151,54.0924,80.6,69,0,3.44,1619128669,OM
154,chadiza,-14.0678,32.4392,59.45,95,9,3.42,1619128669,ZM
155,dalvik,65.9702,-18.5286,39.2,87,0,6.91,1619128670,IS
156,gizo,-8.103,156.8419,82.87,72,100,3.42,1619128670,SB
157,hasaki,35.7333,140.8333,50.0,66,20,13.8,1619128659,JP
158,igarka,67.4667,86.5833,32.76,95,100,12.55,1619128670,RU
159,amboasary,-25.0333,46.3833,73.4,88,40,16.11,1619128671,MG
160,outram,1.2829,103.8379,80.6,78,75,4.61,1619128671,MY
161,chuy,-33.6971,-53.4616,65.89,79,10,12.15,1619128581,UY
162,panguna,-6.3164,155.4848,69.12,94,100,2.37,1619128671,PG
163,koundara,12.4833,-13.3,90.52,17,4,3.85,1619128672,GN
164,seabra,-12.4186,-41.7703,73.4,94,90,3.44,1619128672,BR
165,los llanos de aridane,28.6585,-17.9182,68.0,73,20,5.75,1619128672,ES
166,voyvozh,62.892,54.9635,38.14,90,100,9.89,1619128673,RU
167,miri,4.4148,114.0089,75.2,94,20,1.14,1619128460,MY
168,mar del plata,-38.0023,-57.5575,69.8,88,40,8.05,1619128673,AR
169,yellowknife,62.456,-114.3525,17.6,49,75,21.85,1619128655,CA
170,shingu,33.7333,135.9833,59.16,77,86,8.97,1619128673,JP
171,airai,-8.9266,125.4092,57.6,85,34,2.13,1619128674,TL
172,khorramshahr,30.4397,48.1664,77.0,47,0,4.61,1619128674,IR
173,haines junction,60.7522,-137.5108,46.4,27,0,4.61,1619128674,CA
174,george,-33.963,22.4617,57.2,100,40,3.44,1619128675,ZA
175,bereznehuvate,47.3078,32.8499,46.69,87,1,9.37,1619128675,UA
176,anadyr,64.75,177.4833,10.4,85,20,13.42,1619128675,RU
177,quatre cocos,-20.2078,57.7625,77.0,94,75,5.75,1619128676,MU
178,touros,-5.1989,-35.4608,80.6,78,40,11.5,1619128676,BR
179,kayerkan,69.3497,87.7602,31.24,96,100,16.84,1619128676,RU
180,sept-iles,50.2001,-66.3821,42.01,100,90,3.44,1619128677,CA
181,talnakh,69.4865,88.3972,30.79,95,100,13.67,1619128677,RU
182,nanortalik,60.1432,-45.2371,37.2,75,62,3.11,1619128677,GL
183,san patricio,28.017,-97.5169,73.0,78,90,17.27,1619128678,US
184,raudeberg,61.9875,5.1352,36.0,92,100,10.6,1619128678,NO
185,cherskiy,68.75,161.3,18.86,91,100,11.56,1619128678,RU
186,la ronge,55.1001,-105.2842,26.6,50,98,16.11,1619128679,CA
187,vylok,48.1092,22.8387,44.01,81,100,8.99,1619128679,UA
188,neiafu,-18.65,-173.9833,84.2,79,40,9.22,1619128679,TO
